
"Conteneur","Etape","Nom xml","Description","Type XML Schema ","Occurence minimum","Occurence maximum","Longueur minimum","Longueur maximum","Expression régulière","Valeur par défaut","Valeurs de l'énumération","Conditions déclenchées","Condition reçue"
 "Demande","","RequestTypeLabel","","string","1","1","","255","","","","","" 
 "Demande","","Id","Identifiant","long","1","1","","","","","","","" 
 "Demande","","Subject","Sujet","SubjectType","0","1","","","","","","","" 
 "Subject","","Individual","Individu","IndividualType","0","1","","","","","","","" 
 "Subject","","Adult","Adulte","AdultType","0","1","","","","","","","" 
 "Subject","","Child","Enfant","ChildType","0","1","","","","","","","" 
 "Demande","","Requester","Adulte","AdultType","1","1","","","","","","","" 
 "Requester","","Id","","long","1","1","","","","","","","" 
 "Requester","","ExternalCapdematId","","string","0","1","","255","","","","","" 
 "Requester","","ExternalId","","string","0","1","","255","","","","","" 
 "Requester","","Login","","string","0","1","","255","","","","","" 
 "Requester","","PublicKey","","string","0","1","","255","","","","","" 
 "Requester","","LastName","Nom","LastNameType","1","1","","38","[A-Z.]*","","","","" 
 "Requester","","FirstName","Prénom","FirstNameType","1","1","","38","[A-Z]?.*","","","","" 
 "Requester","","FirstName2","Prénom","FirstNameType","0","1","","38","[A-Z]?.*","","","","" 
 "Requester","","FirstName3","Prénom","FirstNameType","0","1","","38","[A-Z]?.*","","","","" 
 "Requester","","BirthDate","Date de naissance","date","0","1","","","","","","","" 
 "Requester","","BirthPlace","","BirthPlaceType","0","1","","","","","","","" 
 "Requester","","Sex","Sexe","SexType","0","1","","","","","Male,Female,Unknown","","" 
 "Requester","","Address","Adresse","AddressType","1","1","","","","","","","" 
 "Requester","","CreationDate","","date","0","1","","","","","","","" 
 "Requester","","State","Statut","ActorStateType","1","1","","","","","Pending,Valid,Invalid,Archived","","" 
 "Requester","","Role","Rôle d'un individu","IndividualRoleType","0","n","","","","","","","" 
 "Requester","","Title","Civilité","TitleType","0","1","","","","","Mister,Madam,Miss,Agency,Unknown","","" 
 "Requester","","MaidenName","Nom","LastNameType","0","1","","38","[A-Z.]*","","","","" 
 "Requester","","NameOfUse","Nom","LastNameType","0","1","","38","[A-Z.]*","","","","" 
 "Requester","","FamilyStatus","Situation familiale","FamilyStatusType","1","1","","","","Other","Married,Single,Divorced,Widow,CommonLawMarriage,PACS,Other","","" 
 "Requester","","HomePhone","Téléphone","PhoneType","1","1","","10","^0[1-9][0-9]{8}","","","","" 
 "Requester","","OfficePhone","Téléphone","PhoneType","0","1","","10","^0[1-9][0-9]{8}","","","","" 
 "Requester","","MobilePhone","Téléphone mobile","MobilePhoneType","0","1","","10","^0[67][0-9]{8}","","","","" 
 "Requester","","Email","Courriel","EmailType","1","1","","","[a-zA-Z0-9._%\-]+@[a-zA-Z0-9._%\-]+\.[a-zA-Z0-9._%\-]{2,4}","","","","" 
 "Requester","","Cfbn","Numéro de CAF","CfbnType","0","1","","8","[0-9]{7}[A-Z]{0,1}","","","","" 
 "Requester","","Profession","","string","0","1","","255","","","","","" 
 "Requester","","Question","","string","0","1","","255","","","","","" 
 "Requester","","Answer","","string","0","1","","255","","","","","" 
 "Requester","","Password","","string","0","1","","255","","","","","" 
 "Demande","","CreationDate","Date de création","date","1","1","","","","","","","" 
 "Demande","","ValidationDate","Date de validation","date","1","1","","","","","","","" 
 "Demande","","LastModificationDate","Dernière modification","date","1","1","","","","","","","" 
 "Demande","","LastInterveningUserId","","long","1","1","","","","","","","" 
 "Demande","","Step","Etape","XmlString","1","1","","","","","Instruction,Delivery","","" 
 "Demande","","State","Etat","RequestStateType","1","1","","","","","Validated,Closed,Archived,Rejected,Uncomplete,Complete,Cancelled,Pending,Notified","","" 
 "Demande","","DataState","Statut des données","DataStateType","1","1","","","","","Pending,Valid,Invalid","","" 
 "Demande","","HomeFolder","Foyer","HomeFolderType","1","1","","","","","","","" 
 "HomeFolder","","Id","","long","1","1","","","","","","","" 
 "HomeFolder","","ExternalCapdematId","","string","0","1","","255","","","","","" 
 "HomeFolder","","ExternalId","","string","0","1","","255","","","","","" 
 "HomeFolder","","Individuals","Individu","IndividualType","1","n","","","","","","","" 
 "HomeFolder","","ExternalIndividuals","Individu","IndividualType","0","n","","","","","","","" 
 "HomeFolder","","Address","Adresse","AddressType","0","1","","","","","","","" 
 "HomeFolder","","State","Statut","ActorStateType","1","1","","","","","Pending,Valid,Invalid,Archived","","" 
 "HomeFolder","","FamilyQuotient","","string","0","1","","255","","","","","" 
